date,country,week,cases,deaths,recovered,monitoring
2020-02-26,Brazil,9,1,0,0,0
2020-02-27,Brazil,9,1,0,0,0
2020-02-28,Brazil,9,1,0,0,0
2020-02-29,Brazil,9,2,0,0,0
2020-03-01,Brazil,10,2,0,0,0
2020-03-02,Brazil,10,2,0,0,0
2020-03-03,Brazil,10,2,0,0,0
2020-03-04,Brazil,10,3,0,0,0
2020-03-05,Brazil,10,7,0,0,0
2020-03-06,Brazil,10,13,0,0,0
2020-03-07,Brazil,10,19,0,0,0
2020-03-08,Brazil,11,25,0,0,0
2020-03-09,Brazil,11,25,0,0,0
2020-03-10,Brazil,11,34,0,0,0
2020-03-11,Brazil,11,52,0,0,0
2020-03-12,Brazil,11,77,0,0,0
2020-03-13,Brazil,11,98,0,0,0
2020-03-14,Brazil,11,121,0,0,0
2020-03-15,Brazil,12,200,0,0,0
2020-03-16,Brazil,12,234,0,0,0
2020-03-17,Brazil,12,291,1,0,0
2020-03-18,Brazil,12,428,4,0,0
2020-03-19,Brazil,12,621,6,0,0
2020-03-20,Brazil,12,904,11,0,0
2020-03-21,Brazil,12,1128,18,0,0
2020-03-22,Brazil,13,1546,25,0,0
2020-03-23,Brazil,13,1891,34,0,0
2020-03-24,Brazil,13,2201,46,0,0
2020-03-25,Brazil,13,2433,57,0,0
2020-03-26,Brazil,13,2915,77,0,0
2020-03-27,Brazil,13,3417,92,0,0
2020-03-28,Brazil,13,3903,114,0,0
2020-03-29,Brazil,14,4256,136,0,0
2020-03-30,Brazil,14,4579,159,0,0
2020-03-31,Brazil,14,5717,201,0,0
2020-04-01,Brazil,14,6834,241,0,0
2020-04-02,Brazil,14,7910,299,0,0
2020-04-03,Brazil,14,9056,359,0,0
2020-04-04,Brazil,14,10278,432,0,0
2020-04-05,Brazil,15,11130,486,0,0
2020-04-06,Brazil,15,12056,553,0,0
2020-04-07,Brazil,15,13717,667,0,0
2020-04-08,Brazil,15,15927,800,0,0
2020-04-09,Brazil,15,17857,941,0,0
2020-04-10,Brazil,15,19638,1056,0,0
2020-04-11,Brazil,15,20727,1124,0,0
2020-04-12,Brazil,16,22169,1223,0,0
2020-04-13,Brazil,16,23430,1328,0,0
2020-04-14,Brazil,16,25262,1532,0,0
2020-04-15,Brazil,16,28320,1736,0,0
2020-04-16,Brazil,16,30425,1924,0,0
2020-04-17,Brazil,16,33682,2141,0,0
2020-04-18,Brazil,16,36599,2347,0,0
2020-04-19,Brazil,17,38654,2462,22130,14062
2020-04-20,Brazil,17,40581,2575,22991,15015
2020-04-21,Brazil,17,43079,2741,24325,16013
2020-04-22,Brazil,17,45757,2906,25318,17533
2020-04-23,Brazil,17,49492,3313,26573,19606
2020-04-24,Brazil,17,52995,3670,27655,21670
2020-04-25,Brazil,17,58509,4016,29160,25333
2020-04-26,Brazil,18,61888,4205,30152,27531
2020-04-27,Brazil,18,66501,4543,31142,30816
2020-04-28,Brazil,18,71886,5017,32544,34325
2020-04-29,Brazil,18,78162,5466,34132,38564
2020-04-30,Brazil,18,85380,5901,35935,43544
2020-05-01,Brazil,18,91299,6329,38039,47221
2020-05-02,Brazil,18,96396,6724,40937,48872
2020-05-03,Brazil,19,101147,7025,42991,51131
2020-05-04,Brazil,19,107780,7321,45186,55273
2020-05-05,Brazil,19,114715,7921,48221,58573
2020-05-06,Brazil,19,125218,8535,51370,65312
2020-05-07,Brazil,19,135106,9146,55350,70610
2020-05-08,Brazil,19,145328,9897,59297,76134
2020-05-09,Brazil,19,155939,10627,61685,83627
2020-05-10,Brazil,20,162699,11123,64957,86619
2020-05-11,Brazil,20,168331,11519,67384,89429
2020-05-12,Brazil,20,177589,12400,72597,92593
2020-05-13,Brazil,20,188974,13149,78424,97402
2020-05-14,Brazil,20,202918,13993,79479,109446
2020-05-15,Brazil,20,218223,14817,84970,118436
